protein_annotation	label
(Mediterranean fruit fly) hypothetical protein	0
attractin-like	2
Polymerase III, alpha subunit protein	2
Contig53, whole genome shotgun sequence	0
Putative SNF-family helicase	2
Putative gene 66 protein	0
Recombination protein Rad52	2
Cupin 2 conserved barrel domain protein	2
Spore cortex-lytic enzyme prepeptide	2
Sugar dehydrogenase	2
Lysozyme domain protein	2
Clamp loader large subunit	2
GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase	2
Nucleotidyl transferase	2
DUF4856 domain-containing protein	1
DNA repair protein Rhp26/Rad26, putative	2
rab9 effector protein with kelch motifs	2
Aspartyl/asparaginy/proline hydroxylase	2
Ribosomal protein S18 acetylase RimI	2
KpsF/GutQ family protein, arabinose-5-phosphate isomerase	2
Putative DNA replication protein	2
Aspartate beta-hydroxylase domain-containing protein 2-like	2
Blast:Kelch domain-containing protein 10 homolog	2
Putative endonucleases	2
DCD protein	2
Uncharacterized protein ybjS	0
TRAP transporter	2
VRR-NUC domain	2
Ggdef family protein	2
YqeY family protein	2
UPF0150 protein ssr1765	1
Ribonucleotide reductase M2 b	2
Kelch-like 13	2
Bromo domain-containing protein	2
Host specificity protein J	2
Putative phage primase	2
Calicin	2
Non-LTR retroelement reverse transcriptase-like	2
IclR helix-turn-helix domain protein 7	2
7-cyano-7-deazaguanine reductase	2
Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	2
Thymidylate synthase THY1	2
dUMP phosphatase	2
Rubredoxin reductase	2
Glycosyltransferase, group 1 family protein	2
Glucose-1-phosphate thymidylyltransferase	2
TM0106 family RecB-like putative nuclease	2
BON domain-containing protein	2
Gene Transfer Agent FAD/FMN-containing dehydrogenase	2
UPF0311 protein NCTC13443_00457	1
uncharacterized protein LOC104596878 isoform X1	0
Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase	2
BMA-HUS-1	2
Sporulation regulator WhiA	2
Multifunctional CCA protein	2
Adenine DNA glycosylase	2
Tail fiber assembly protein, putative	2
GTP cyclohydrolase	2
Serine/threonine-protein kinase PknD	2
Putative Helicase with SNF2 domain	2
DNA-binding helix-turn-helix protein	2
Cytochrome P450	2
UmuD protein	2
Kelch motif/HYR domain protein	2
Maltogenic Amylase, C-terminal domain	2
mRNA interferase toxin of the YafO-YafN toxin-antitoxin system	2
Nucleoid-associated protein NdpA	2
Uncharacterized protein YhfF	0
GroES-like protein	2
Peptidase C39 family protein	2
Putative deoxycytidine triphosphate deaminase	2
Protein containing cell adhesion domain	2
AraC family transcriptional regulator, cell operon repressor	2
Uncoupling protein	2
kelch domain-containing protein 8A-like	2
YME1 metalloprotease	2
Putative DEAD-box ATP-dependent RNA helicase	2
DHHA1 domain protein	2
Clp protease ClpP	2
DNA primase catalytic core	2
NUMOD4 motif-containing homing endonuclease	2
KH domain protein	2
Zona occludens toxin (Predicted ATPase)	2
Choice-of-anchor D domain-containing protein	2
Possible DNA helicase	2
Receptor protein-tyrosine kinase	2
Cyclic-di-AMP phosphodiesterase	2
Hva1_TUDOR domain-containing protein	2
Cell wall hydrolase SleB	2
Transcription regulator IclR, C-terminal	2
Uncharacterized protein (DUF697 family)	1
RD21A protein	2
DUF2586 domain-containing protein	1
LexA-like repressor	2
ECF RNA polymerase sigma factor SigK	2
Helix-turn-helix domain of resolvase	2
Putative efflux transporter, RND family, MFP subunit	2
UvrABC system protein B	2
MDMPI_N domain-containing protein	2
Preprotein translocase subunit TatB	2
JAB domain-containing protein similar to deubiquitination enzymes	2
5' nucleotidase, deoxy family protein	2
Lipopolysaccharide core biosynthesis protein RfaZ	2
HFLC protein	2
Cytidine deaminase-like protein	2
Serine/threonine-protein kinase PknK	2
GTP pyrophosphokinase rsh	2
SNF2_N domain-containing protein	2
Alpha amylase	2
Putative helicase	2
Right handed beta helix region family protein	2
Stomatin (EPB72)-like 2	2
Putative deoxycytidylate deaminase	2
Peptidase M15C family protein	2
M48 family metalloprotease	2
HD/GGDEF domain regulatory protein	1
BppA-like protein	2
Uncharacterized LOC103140637	0
Putative prophage repressor protein ( phage repressor protein cI)	2
WGS project CAEQ00000000 data, annotated contig 2446	0
Putative ATPase YjoB	2
Predicted RecA/RadA family phage recombinase	2
DUF3277 family protein	1
O-fucosyltransferase family protein	2
UDP-galactose-4-epimerase	2
Unplaced genomic scaffold scaffold_87, whole genome shotgun sequence	0
Prim_Zn_Ribbon domain-containing protein	2
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	2
Double zinc ribbon	2
Replication factor C / DNA polymerase III gamma-tau subunit isoform 2	2
DEAD-box family helicase	2
Putative Antirepressor	2
NADH:flavorubredoxin reductase NorW	2
DUF3102 domain-containing protein	1
Putative phage major capsid protein, gp36	2
ORC1-type DNA replication protein	2
Gp20	0
Phage protein GP46	0
Heme-bound 3',5'-cyclic-nucleotide phosphodiesterase (Direct oxygen sensor protein)	2
Uncharacterized protein orf412	0
dCTP deaminase/dUTP pyrophosphatase	2
Cupin 2, conserved barrel	2
DUF45 domain-containing protein	1
Phage membrane protein	1
Potassium channel subfamily K member 4	2
ORF	0
SPP1 family phage portal protein	2
uncharacterized protein LOC108838554	0
Ribonucleotide reductase catalytic subunit M1	2
MoxR family ATPase	2
Uncharacterized protein DUF1064	1
T-lymphocyte surface antigen Ly-9-like isoform X1	2
Deoxyribose-phosphate aldolase-like	2
Flavivirus DEAD domain/DNA replication factor Dna2	2
Thymidylat_synt domain-containing protein	2
Prophage pi2 protein 39	0
Phage-related minor capsid protein (Gpg protein)	2
Type II secretion system protein GspD	2
Glutamic acid-rich protein	1
Tubulin gamma chain	2
uncharacterized protein LOC112057632	0
Class IV adenylate cyclase	2
Putative prophage head-tail adaptor	2
Bulb-type lectin domain-containing protein	2
TerC family protein, ortholog of stress responce protein	2
GpH	0
COG2932: Predicted transcriptional regulator	2
T4 prohead core scaffold protein	2
Periplasmic copper-binding protein (NosD)	2
Similar to Saccharomyces cerevisiae YLR059C REX2 3'-5' RNA exonuclease	2
Capsular polysaccharide biosynthesis protein	2
uncharacterized protein LOC116297923	0
host cell factor 2-like isoform X2	2
Probable endopeptidase p60	2
Virulence-associated protein E, putative	2
COG4626: Phage terminase-like protein, large subunit	2
Probable RNA methyltransferase PA1839	2
Peptide chain release factor H	2
D-fructose-6-phosphate amidotransferase	2
Phosphopantothenate--cysteine ligase isoform X1	2
Potassium transporter Kef	2
RliB protein	2
SNF2 family N-terminal domain/Helicase conserved C-terminal domain/HNH endonuclease, putative	2
Gp157 family protein	0
Gp33 TerL	2
Riox1 protein	2
Putative bacteriophage protein GP26	0
Putative flagellar modification protein FlaG/FlmH	2
DNA topoisomerase type II	2
Nvl protein	2
Orotidine-5'-phosphate decarboxylase	2
Cell Wall Hydrolase	2
Ribonucleosidetriphosphate reductase, adenosylcobalamin-dependent	2
Nucleoside triphosphatase, D5 family	2
Peptidase C26	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog isoform X2	2
Helicase, RecD/TraA family	2
VWA-like domain	2
Head-to-tail joining protein, putative	2
DNA polymerase-3 subunit beta	2
KLHL3	2
HAD hydrolase-like protein	2
Murein-DD-endopeptidase	2
Mu-like prophage FluMu protein gp47	2
Viral (Superfamily 1) RNA helicase (Modular protein)	2
YALI0C09658p	0
Complex I NDUFA9 subunit family protein	2
DUF551 domain-containing protein	1
ATP-dependent helicase fft3	2
Phage major tail subunit	2
Probable bacteriophage protein	0
MgsA AAA+ ATPase family protein	2
Phage baseplate	2
Secretion system protein	2
Putative nucleic acid-binding protein skin element	2
Peroxisome assembly factor 2	2
Putative A1pp-domain-containing protein	2
Phage integrase protein (Modular protein)	2
1,5-anhydro-D-fructose reductase	2
Intein-containing DNA gyrase subunit B	2
Transposase, IS204/IS1001/IS1096/IS1165	2
Lysozyme-like domain-containing protein	2
Protein YdiA	2
Phage protein, replisome organiser	2
Cell division protein ZapE	2
Putative alpha-protein kinase 1	2
Type IV methyl-directed restriction enzyme	2
nudix hydrolase 20, chloroplastic-like isoform X5	2
Uncharacterized protein containing caspase domain	2
Gamma-glutamylcyclotransferase family protein ytfP	2
Gp23	0
uncharacterized protein LOC107457758	0
SNF2P	2
Phage anti-repressor protein	2
RNase adapter protein RapZ	2
Transcriptional regulator, LuxR family protein	2
7-cyano-7-deazaguanine synthase QueC	2
EAL domain-containing protein (Putative c-di-GMP-specific phosphodiesterase class I)	2
YfaP family protein	2
M23B-like protein peptidase	2
Chaperonin-like protein Hsp-60, mitochondrial	2
Putative phage-related protein	0
Phage late control gene d protein (Gpd)	2
Flp pilus assembly protein, secretin CpaC	2
DNA damage checkpoint control protein RAD17	2
Deoxynucleoside monophosphate kinase	2
Phosphoethanolamine N-methyltransferase 2	2
QueC protein	2
5'-deoxynucleotidase PBPRA2627	2
AAA_assoc domain-containing protein	2
Putative DNA protecting protein DprA	2
Thymidylate synthase flavin-dependent	2
Phage repressor like XRE family transcriptional regulator	2
Phage-like element PBSX protein xkdE	2
DnaJ -like protein subfamily B member 1	2
Membrane-anchored cell surface protein	2
Periplasmic divalent cation tolerance protein cutA	2
Rna recognition motif-containing protein	2
Putative Site-specific recombinase XerD	2
Chaperonin cpn60-2 mitochondrial	2
ATPase, AAA-type, CDC48	2
Pyrimidine reductase family protein	2
PRPS1 isoform 4	2
Toxic anion resistance protein	2
Gp47 phage protein	0
Type I fatty acid synthase, putative	2
Putative metal-dependent phosphohydrolase	2
F-box only protein 42	2
Late control gene D protein GpD	2
DUF3427 domain-containing protein	1
Asparagine synthase (glutamine-hydrolyzing)	2
Cupin region	2
Tail assembly chaperone	2
ATP-binding protein p271	2
Kelch like family member 18	2
dCMP deaminase, putative	2
Voltage-dependent calcium channel subunit alpha-2/delta-1	2
Ig domain protein group 2 domain protein	2
Pspto3096-like protein	0
Phage tail fibre repeat protein	2
LysM repeat-containing protein	2
RRM2B isoform 3	2
HlyD family secretion protein	2
kelch-like protein 12 isoform X1	2
Lipase (Class 3)	2
Dna polymerase i	2
VAT-2 protein	2
DNA endonuclease	2
CPXV215	0
Methyl-accepting chemotaxis protein PctC	2
Ferric uptake regulation protein	2
DNA helicase, phage-associated Type III restriction enzme	2
Phage essential recombination function protein	2
Lin1290 protein	0
Bll1367 protein	0
5'-deoxynucleotidase EDC44_10754	2
Gamma-glutamylcyclotransferase, AIG2-like protein	2
NB-ARC domain-containing protein	2
Phage portal protein, lambda	2
Bacteriophage protein homolog	0
F-box/kelch-repeat protein SKIP4	2
Putative Hsp20 family chaperone	2
SAM-dependent DNA methyltransferase	2
Gp36	0
Gp26, putative	0
Short-chain dehydrogenase/reductase family protein	2
Methyltransferase type 11 (Modular protein)	2
Putative Integral membrane protein, TerC family	2
NaMN:DMB phosphoribosyltransferase	2
Kelch 35	2
WD repeat-containing protein 53	2
WD-40 repeat protein	1
Na+/H+ exchanger 1	2
Putative hypothetical bacteriophage protein	0
Orf451	0
Probable phage repressor protein	2
Tail component of prophage CP-933X	2
Aste57867_15225 protein	0
Sulfate transporter	2
Phage head-tail connector protein	2
Kelch-like protein 7	2
DUF1024 family protein	1
Gluconokinase	2
DUF2597 domain-containing protein	1
Glucosamine/fructose-6-phosphate aminotransferase, isomerizing	2
Putative glutamine amidotransferase-like protein YvdE	2
DRTS protein	2
Proliferating cell nuclear antigen, PCNA	2
HK97 family phage protein	0
uncharacterized protein LOC107800652	0
Eukaryotic initiation factor 4A-III	2
Uncharacterized protein (UPF0332 family)	1
Putative small membrane lipoprotein	1
Conserved hypothetical membrane protein	1
GL25124	0
Bacterial group 2 Ig-like protein	2
DnaB-like helicase C-terminal domain protein	2
uncharacterized protein LOC114847662 isoform X2	0
Ribosomal protein S27E	2
Putative phosphoadenosine phosphosulfate reductase	2
DgyrCDS1940	0
(rape) hypothetical protein	0
Cysteine sulfinate desulfinase cysteine desulfurase	2
Autotransporter adhesin	2
Lambda family phage portal protein	2
TerD family stress response protein	2
Reducing polyketide synthase FUB1	2
Lactonase family protein	2
Putative chaperone protein DNAj	2
Peptide chain release factor RF1	2
O-acetyl-ADP-ribose deacetylase MACROD2	2
Phage-like element PBSX protein XkdQ	2
Hca operon transcriptional activator HcaR	2
Phage-related endonuclease	2
Flotillin-like protein 2	2
Phosphate starvation-inducible ATPase PhoH with RNA binding motif	2
nudix hydrolase 20, chloroplastic-like isoform X3	2
Mannose-1-phosphate guanylyltransferase	2
Hypothetical transport protein	2
60S ribosomal protein L23	2
PF09979 family protein	1
Nucleic acid-binding protein	2
Putative Lipopolysaccharide N-acetylglucosaminyltransferase	2
LAS superfamily LD-carboxypeptidase LdcB	2
DNA replication protein dnaC	2
ApaG domain-containing protein	2
DUF2500 domain-containing protein	1
Probable chromosome partitioning protein parB	2
1-deoxypentalenic acid 11-beta-hydroxylase	2
Phage terminase large subunit GpA-like protein	2
Putative glutamine amidotransferase-like protein RP404	2
Putative Prophage antirepressor	2
Putative Serine/threonine protein phosphatase	2
Kelch repeat-containing protein 2	2
Ribose-phosphate pyrophosphokinase 1	2
Nadph quinone reductase, zeta-crystallin family protein oxidoreductase protein	2
HAD-superfamily hydrolase, subfamily IA, variant 3	2
ribonucleoside-diphosphate reductase subunit M2 B isoform X1	2
Circadian clock protein KaiB	2
PHB domain-containing protein	2
Putative lysozyme subfamily protein 2	2
Cell Wall hydrolase	2
Transcription regulator iclr n-terminal	2
Chitinase 4	2
Major capsid protein Gp5	2
AraC-type DNA-binding protein	2
Putative phosphoesterase, dhha1	2
Kelch-like protein 35	2
5'-deoxynucleotidase FJW01_06410	2
RF-1 domain protein	2
Peptidase S14, ClpP	2
Probable serine/threonine-protein kinase	2
Bacteriophage Mu tail sheath protein GpL family protein	2
Diamine N-acetyltransferase	2
Kelch repeat and BTB domain-containing protein 12	2
DinG family ATP-dependent helicase YoaA	2
GMP synthase-like glutamine amidotransferase	2
Recombination protein51 gene c	2
Putative RecF/RecN/SMC domain contining protein	2
SIR2 family protein	2
Serine/threonine-protein kinase Nek6-like	2
protein mono-ADP-ribosyltransferase PARP9 isoform X4	2
Ribonucleotide reductase M1 polypeptide	2
uncharacterized protein LOC113082488	0
DNA helicase B	2
Metal dependent phosphohydrolase	2
Phage putative head morphogenesis protein, SPP1 gp7 family (Modular protein)	2
uncharacterized protein LOC106169280	0
tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	2
Glutathione-regulated potassium-efflux system protein KefC	2
Kelch-like protein 41	2
uncharacterized protein LOC109505357	0
Branched-chain amino acid transport system substrate-binding protein	2
DUF1391 domain-containing protein	1
Rieske domain-containing protein	2
Bis(5'-nucleosyl)-tetraphosphatase PrpE	2
3-ketoacyl-CoA synthase 17	2
KLD8B protein	2
PREDICTED: peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	2
Transposase ISL3 family protein	2
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	2
Stage 0 sporulation protein J	2
Cell wall hydrolase	2
Ogfod1	2
Nucleotidyltransferase, putative	2
Slipin family protein	2
Phage prohead protease protein	2
Avirulence-responsive family protein	2
DNA polymerase I, thermostable	2
Heat Shock Protein	2
Cytosolic Fe-S cluster assembly factor CFD1	2
ATP-dependent sacrificial sulfur transferase LarE	2
Kinase/phosphohydrolase	2
Demethylrebeccamycin-D-glucose O-methyltransferase	2
Asparagine synthase (Glutamine-hydrolyzing)	2
uncharacterized protein LOC113788412	0
ribonucleoside-diphosphate reductase subunit M2 B	2
NEDD4-binding protein 2 isoform X4	2
DNA methyltransferase 2	2
DNA / pantothenate metabolism flavoprotein	2
DUF771 domain-containing protein	1
ATP-dependent zinc metalloprotease FtsH 4	2
Unplaced genomic scaffold PAXINscaffold_405, whole genome shotgun sequence	0
Prophage PSPPH02, putative adenine modification methytransferase	2
Unplaced genomic scaffold SPHSTscaffold_123, whole genome shotgun sequence	0
WblE protein	2
SPFH domain / band 7 family protein	2
Alpha-2C adrenergic receptor	2
Head decoration protein	2
Vertebrate C1q and tumor necrosis factor-related protein-like protein	2
Proliferating cell nuclear antigen PcnA	2
ERI1 exoribonuclease 3	2
deoxycytidylate deaminase isoform X1	2
2-heptaprenyl-1,4-naphthoquinone methyltransferase	2
Gentamicin 3'-N-acetyltransferase	2
Phage head morphogenesis protein gp7	2
Kelch domain-containing 8A	2
Serine protease, subtilisin family	2
Phage Terminase family protein	2
Uracil-DNA glycosylase superfamily	2
uncharacterized protein LOC107793301 isoform X2	0
Late competence protein required for DNA binding and uptake	2
Glycosyl hydrolase family 9	2
Integrator complex subunit like	2
Hypothetical genomic island protein	0
SFRICE_015559	0
Arylacetamide deacetylase-like protein	2
Nitroreductase	2
Peptidase P60	2
Exonuclease, DNA polymerase III, epsilon subunit	2
Acyl-CoA dehydrogenase probable dibenzothiophene desulfurization enzyme	2
DUF444 family protein	1
kelch-like protein 2 isoform X3	2
ATP phosphoribosyltransferase	2
Putative host killing protein	2
Bacteriophage lambda gpa	2
Peptidase family S24	2
RNA ligase (TIGR02306 family)	2
Transposase and inactivated derivatives	2
Phage DNA methylase	2
FinTRIM family, member 79	2
GCN5 family N-acetyltransferase	2
DNA polymerase III beta subunit	2
ATP-dependent RNA helicase vasa	2
Leucine-rich repeat (LRR) protein	1
kelch domain-containing protein 8B	2
Unplaced genomic scaffold CY34scaffold_1032, whole genome shotgun sequence	0
26S proteasome regulatory subunit 8-like A	2
RING-type domain-containing protein	2
Werner helicase interacting protein-like protein	2
Centaurin, alpha	2
Bacteriophage terminase small subunit TerS	2
Putative endopeptidase Clp	2
DNA damage-inducible protein D	2
Phage integrase: site-specific recombinase	2
Sporulation protein	2
Portal protein	2
SLAM family member 6 isoform X1	2
Gly-zipper_Omp domain-containing protein	2
N-terminal acetyltransferase complex ARD1 subunit-like protein A	2
Putative ArsR family transcriptional regulator	2
4-phospho-panto-thenoylcysteine synthetase	2
Heat shock protein 60, mitochondrial chaperonin, putative	2
Regulatory helix-turn-helix protein, lysR family	2
Heterochromatin-associated protein HP1 and related CHROMO domain proteins	2
Host cell factor 1	2
Putative hydrolase of the HAD superfamily	2
Type I toxin-antitoxin system SymE family toxin	2
Spermatogenesis associated 5-like 1	2
TCP-1/cpn60 chaperonin family protein	2
8-oxo-dGTP pyrophosphatase MutT, NUDIX family	2
uncharacterized protein LOC104246415	0
Transcriptional regulator, IclR family protein	2
SNF2 DNA repair protein, putative	2
P2 phage tail completion protein R (GpR)	2
ATP-dependent Clp endopeptidase proteolytic subunit ClpP	2
Oxysterol-binding protein homolog 3	2
DNA repair protein rad50	2
Band_7_C domain-containing protein	2
Transporter, CPA2 family protein	2
Phosphatidylinositol N-acetylglucosaminyltransferase gpi3 subunit	2
Prophage MuMc02, terminase, ATPase subunit, putative	2
Acylphosphatase	2
Phosphoribosyltransferase, putative	2
Predicted phage baseplate assembly protein	2
Mitochondrial 60 kDa heat shock protein	2
DNA polymerase V subunit UmuD	2
Protein kinase domain family protein	2
Rha family Phage regulatory protein	2
Flagellar assembly peptidoglycan hydrolase FlgJ	2
Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	2
Mixed-linked glucanase	2
ARAD1B04510p	0
Integrase core domain	2
Phosphate starvation inducible protein	2
DUF4823 domain-containing protein	1
Kelch-like protein 25	2
Transcription elongation protein SprT	2
Uncharacterized protein DUF2163	1
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	2
Uncharacterized protein conserved in bacteria	0
NDP-sugar epimerase	2
Phage regulator Rha-like protein	2
Convicilin	2
Collar domain-containing protein	2
Regulatory protein GntR HTH	2
Flotillin-like	2
Bacteriophage lambda tail assembly I	2
ATP cone domain protein	2
Cupin domain-containing protein	2
Molecular chaperone Hsp90	2
Acm2 protein	2
Putative bacteriophage protein	0
Carcinoembryonic antigen-related cell adhesion molecule 1-like	2
Contig77, whole genome shotgun sequence	0
Chloroplast protein-transporting ATPase	2
Gluconate 5-dehydrogenase	2
ATPase involved in DNA repair, phage associated	2
UDP-4-amino-4, 6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	2
PF10761 family protein	1
Putative enzyme with nucleoside triphosphate hydrolase domain	2
Terminase, small subunit	2
Replication factor C subunit 4-like protein	2
von Willebrand factor A	2
Kelch-like protein 6	2
Endogenous inhibitor of DNA gyrase (YacG/DUF329 family)	2
Putative Gp10 V	0
Acetyltransferase protein	2
DNA mismatch repair protein MutT	2
Zinc finger/helix-turn-helix protein, YgiT family	2
uncharacterized protein	0
Uncharacterized protein, YkwD family	0
tRNA pseudouridine synthase B	2
Predicted phage-related endonuclease	2
Protein/band 7 family protein	2
VPDSG-CTERM domain-containing protein	2
CMP/dCMP-type deaminase domain-containing protein	2
Putative ADP-ribose pyrophosphatase/acetyltransferase	2
Kelch repeat-containing protein kel-10	2
Uncharacterized protein AlNc14C137G7127	0
Contig2, whole genome shotgun sequence	0
Gp43	0
Phosphoserine phosphatase 1	2
Glutamine amidotransferase class-II	2
SF3 helicase domain-containing protein	2
Putative bacteriophage domain protein	0
Tail fiber	2
Small major structural protein	2
Zmp:0000001301	0
Putative 2OG-Fe(II) oxygenase	2
Histone acetyltransferase	2
Acetyltransferase family protein	2
uncharacterized protein LOC110754071	0
P22_AR N-terminal domain	2
CTP synthase	2
Uncharacterized protein DUF4065	1
Putative nicotinamide N-methyase	2
O-acyl-ADP-ribose deacylase 1	2
Gp25	0
Polynucleotidyl transferase, ribonuclease H-like superfamily protein 1	2
DFP domain-containing protein	2
BTB/POZ domain protein	2
Phage tail fiber repeat family protein	2
Luc7-like protein 3	2
Ferritin-like superfamily	2
uncharacterized protein LOC113070496	0
Carrier domain-containing protein	2
Putative Phage integrase family protein	2
DNA repair protein rad5	2
5'-deoxynucleotidase I926_01435	2
Adenosine kinase	2
Ser/Thr phosphatase family protein	2
Heat-shock protein	2
Rpt-4 protein	2
Pyridoxal-phosphate dependent protein	2
tubulin epsilon chain isoform X4	2
Aste57867_25176 protein	0
dCTP deaminase related protein	2
IPTL-CTERM protein sorting domain-containing protein	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1B	2
Putative Baseplate assembly protein W	2
CopG family transcriptional regulator	2
Replication factor C subunit 2 isoform 3	2
Lsr2 protein	2
DNA polymerase I	2
Ribonucleoside triphosphate reductase	2
Phosphatidylinositol N-acetylglucosaminyltransferase	2
Uncharacterized protein DUF1052	1
P-loop containing nucleoside triphosphate hydrolases superfamily protein	2
Related to Ribonucleoside-diphosphate reductase small chain	2
Major tail tube protein	2
Coagulation factor 5/8 type domain protein	2
Glutamine amidotransferase SNO family	2
Polyadenylate-specific 3'-exoribonuclease AS	2
CMP/dCMP deaminase zinc-binding protein (Modular protein)	2
Hydroxyacid dehydrogenase	2
Late control gene D protein	2
Sb5	0
PIF1 helicase Helicase	2
IS3 family transposase	2
Tumor necrosis factor ligand superfamily member 13	2
Bacteriophage HK97-gp10-like protein	0
ATP-dependent exoDNAse (Exonuclease V) beta subunit (Contains helicase and exonuclease domains)	2
Putative DNA repair and recombination protein RAD54B	2
Protein stichel-like 1	2
Putative Uncharacterized phosphosugar isomerase aq_1546	2
Protein cbbY, chromosomal	2
Fe superoxide dismutase	2
Host specificity protein J, internal	2
Terminase large subunit, C-terminal region	2
Asparagine synthetase [glutamine-hydrolyzing] (EC)	2
Type III restriction enzyme res	2
Synaptic vesicle membrane protein VAT-1 homolog	2
Ribosomal-protein-alanine acetyltransferase	2
Hca operon transcriptional activator	2
Putative N-acetyltransferase YjaB	2
Putative head-tail connector	2
ORF069	0
Protein of uncharacterized function (DUF1052)	1
Pilus assembly protein CpaC	2
Sec3-PIP2_bind domain-containing protein	2
Polyhydroxyalkanoate synthesis regulator phasin	2
GuKc domain-containing protein	2
ATP-dependent RNA helicase dhh1	2
Putative oxidoreductase subunit	2
Tmk protein	2
PrfB: peptide chain release factor	2
8-oxo-dGTP pyrophosphatase MutT (NUDIX family)	2
mitochondrial genome maintenance exonuclease 1 isoform X4	2
Chaperonin GroL	2
Secretin GspD	2
CBS domain protein	2
Fe-S oxidoreductase	2
AT19489p	0
Uncharacterized protein involved in type VI secretion and phage assembly	2
Aspartyl/asparaginyl beta-hydroxylase (Cupin superfamily)	2
Smr domain protein	2
Insecticidal delta-endotoxin CryXXIIA(A)	2
Regulatory P domain of the subtilisin-like proprotein convertase	2
Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 1	2
Cell wall-binding repeat-containing protein	1
Ras guanine nucleotide exchange factor F	2
THO complex subunit 1	2
Endonuclease 2	2
Related to C.carbonum toxD protein	2
Transglycosylase	2
Choline binding protein A	2
26S protease regulatory subunit 8 homolog B	2
D-alanyl-D-alanine dipeptidase	2
Uncharacterized protein family UPF0150 domain protein	1
Copper-binding protein (NosD)	2
ATP-dependent Clp protease ClpP	2
Replication factor C subunit like	2
uncharacterized protein LOC110276786	0
C4-dicarboxylate ABC transporter substrate-binding protein	2
Exonuclease/DNA polymerase family A, putative	2
YwqA protein	2
Type I restriction enzyme R subunit	2
Chromosomal replication initiator protein DnaA	2
GPKOW protein	2
DNA repair protein RecA homolog 2, mitochondrial	2
DEKNAAC105001	0
Prophage phiRv2 integrase	2
Phage tail sheath protein, putative	2
Sugar metabolism cluster protein	2
Putative linocin/CFP29 family protein	2
Radical SAM superfamily protein	2
Probable serine/threonine protein phosphatase	2
Uncharacterized LOC100144954	0
2,3-cyclic nucleotide 3-phosphodiesterase	2
Spore germination protein YaaH	2
Guanosine-3'5'-bis 3'-pyrophosphohydrolase protein	2
uncharacterized protein LOC107862803	0
Putative transcriptional regulator Nlp	2
Phage head morphogenesis protein	2
RmlD_sub_bind domain-containing protein	2
Aminoalkylphosphonic acid N-acetyltransferase	2
Phage antirepressor KilAC domain protein	2
Zinc ribbon domain-containing protein	2
Translation initiation factor 2 beta subunit (eIF-2beta)/eIF-5	2
26S proteasome ATPase 3 subunit	2
Stomatin/prohibitin-family membrane protease subunit PA4582	2
Mitochondrial translational release factor 1 like	2
Rha family phage regulatory protein	2
ATPase transposase-like protein	2
Probable short-chain dehydrogenase	2
DNA repair protein RAD51	2
RNase T domain containing protein	2
CSD domain-containing protein	2
Phage DNA helicase, partial	2
SprT-like family protein	2
HflC protein, putative	2
Glycosyltransferase KanE	2
GDSL esterase/lipase EXL3-like	2
ORF168	0
Plasmid partitioning protein ParB	2
GST N-terminal domain-containing protein	2
Ribonuclease R	2
RNA polymerase II second largest subunit	2
SWI2/SNF2 ISWI-like SANT	2
GMP synthetase	2
AAA_3 domain-containing protein	2
Alpha-N-acetylglucosaminidase	2
Phage gene transfer protein	2
Small heat shock protein	2
Bacterial type II and III secretion system protein	2
uncharacterized protein LOC110412471 isoform X2	0
Membrane associated GGDEF protein	2
ATP-dependent helicase/nuclease subunit A	2
Ribosome production factor 2 homolog	2
uncharacterized protein LOC113075988 isoform X2	0
Putative exonuclease VIII, ds DNA exonuclease encoded by prophage	2
Uncharacterized signaling protein CC_0091	2
Centromere protein 3	2
DRC7 protein	2
Cortactin-binding protein 2 CortBP2	2
kelch-like protein 5 isoform X1	2
Putative NUDIX hydrolase	2
Regulatory protein GemA	2
Sodium:proton exchanger	2
Chaperonin CPN60, mitochondrial	2
Uncharacterized ATP-dependent helicase ywqA	2
Translational repressor RegA	2
TRPL translocation defect protein 14 isoform X2	2
DNA replication protein DnaC	2
Lysophospholipase L1 and related esterase	2
ATP-dependent Clp protease adaptor protein	2
P22 coat protein Gp5	2
dUTP pyrophosphatase	2
Invasion protein IalB, involved in pathogenesis	2
Elongator associated protein	2
Snf2 super family	2
5'-deoxynucleotidase AKG98_225	2
Kelch-type beta propeller	2
Wall-associated kinase 2	2
KTSC domain-containing protein	2
Predicted ATPase with chaperone activity	2
Cysteine desulfhydrase	2
