protein_annotation	regex_label	manual_label	note
Cobalt chelatase subunit CobT	proper	proper	
Putative phage tail fiber host specificity protein	proper	proper	
Bacteriophage replication protein O	proper	proper	
KY49.ctg7180000000022_quiver, whole genome shotgun sequence	uninformative	uninformative	
Putative adenylyl-sulfate kinase	proper	proper	
RelA/SpoT protein	proper	proper	
Phage late control gene D protein GPD	proper	proper	
Os12g0141800 protein	proper	uninformative	
Putative Phage portal protein, lambda family	proper	proper	
Uncharacterized protein KLHL10-like	proper	proper	KLHL10 is a human gene name
Gll0587 protein	proper	uninformative	gene name without associated function
DUF1654 domain-containing protein	low informative	low	
Non-specific serine/threonine protein kinase	proper	proper	
O-GlcNAcase NagJ	proper	proper	
Cell division protein FtsZ-like 2-1, chloroplastic	proper	proper	
Putative prophage exonuclease	proper	proper	
Putative Phage regulatory protein Rha	proper	proper	
IclR helix-turn-helix domain protein 7	proper	proper	
Probable endopeptidase p60	proper	proper	
SWIM zinc finger	proper	proper	
Glr2862 protein	proper	proper	gene name with associated function
7-cyano-7-deazaguanine synthase QueC	proper	proper	
5'-nucleotidase/2' 3'-cyclic phosphodiesterase-like protein	proper	proper	
Cation transporter	proper	proper	
deoxycytidylate deaminase isoform X1	proper	proper	
Prophage LambdaSa04, DNA polymerase family protein	proper	proper	
Asparagine synthetase	proper	proper	
Nitroreductase	proper	proper	
Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2	proper	proper	
Fe superoxide dismutase	proper	proper	
Choline binding protein a	proper	proper	
D-fructose-1,6-bisphosphate 1-phosphohydrolase class 2	proper	proper	
KBTBD	proper	proper	gene name with associated function
Probable mitochondrial chaperone bcs1-b	proper	proper	
Uvs068	proper	uninformative	gene name without associated function
Prepilin-type N-terminal cleavage/methylation domain protein	proper	proper	
Phosphoribosyltransferase	proper	proper	
DNA_PPF domain-containing protein	proper	proper	
VWA domain-containing protein-like protein	proper	proper	
Helix-turn-helix domain protein	proper	proper	
FAD-dependent oxidoreductase	proper	proper	
Exosporium leader peptide domain protein	proper	proper	
Probable cat1 operon transcriptional activator	proper	proper	
Cas_Cas4 domain-containing protein	proper	proper	
leukocyte cell-derived chemotaxin-2-like	proper	proper	
Phage-derived protein	proper	uninformative	
Concanavalin A-like lectin/glucanases superfamily	proper	proper	
Prophage repressor	proper	proper	
F-box DNA helicase protein 1	proper	proper	
Fumarate hydratase class II	proper	proper	
Retinol dehydrogenase 8	proper	proper	
VirE_N domain-containing protein	proper	proper	
Nitric oxide reductase NorQ protein	proper	proper	
SNF2 domain-containing protein CLASSY 3	proper	proper	
Ectoderm-neural cortex protein 2	proper	proper	
LysR family transcriptional regulator, cyn operon transcriptional activator	proper	proper	
ParB family chromosome partition protein	proper	proper	
DNA-binding protein from phage origin	proper	proper	
Single-stranded DNA-binding protein 2	proper	proper	
ADP-ribose glycohydrolase OARD1 isoform X1	proper	proper	
Putative exported lipoprotein	proper	low	
Putative non-transporter ABC protein	proper	proper	
Acyl-CoA-binding domain-containing protein 5	proper	proper	
Gp38	uninformative	uninformative	
Late control gene D protein GpD	proper	proper	
YTH domain-containing protein	proper	proper	
DNA ligase-like protein	proper	proper	
Cupin 2 conserved barrel domain protein	proper	proper	
Uncharacterized protein DUF955	low informative	low	
Ala-tRNA(Pro) deacylase	proper	proper	
Vicilin antimicrobial peptide	proper	proper	
Carbamoyl-phosphate synthetase ammonia chain	proper	proper	
Leukotoxin	proper	proper	
Phosphoadenosine 5'phosphosulfate reductase	proper	proper	
Ribosome biogenesis ATPase RIX7	proper	proper	
Protein of uncharacterized function (DUF1052)	low informative	low	
DNA-binding transcriptional regulator, MarR family	proper	proper	
Integrating conjugative element protein	proper	proper	
Possible DNA helicase	proper	proper	
Peptide chain release factor RF-2	proper	proper	
Replication factor C subunit 4-like protein	proper	proper	
Reverse transcriptase	proper	proper	
YqaJ viral recombinase protein	proper	proper	
Diheme cytochrome c NapB	proper	proper	
Peptidase S14, ClpP	proper	proper	
Phage major tail subunit	proper	proper	
Putative transcription regulator protein	proper	proper	
NADH:ubiquinone oxidoreductase subunit L	proper	proper	
ATPases of the AAA+ class	proper	proper	
Phage-related head-tail joining protein	proper	proper	
Superfamily II DNA or RNA helicase	proper	proper	
KLHL12	proper	proper	gene name with associated function
Hemophilus-specific protein	proper	proper	
Cold-shock-like DNA binding protein	proper	proper	
PRPS1 isoform 4	proper	proper	gene name with associated function
DUF2597 domain-containing protein	low informative	low	
3-oxoacyl-[acyl-carrier protein] reductase	proper	proper	
Vertebrate C1q and tumor necrosis factor-related protein-like protein	proper	proper	
Glycosyltransferase involved in cell wall biosynthesis/GT2 family glycosyltransferase	proper	proper	
Putative co-chaperone GroES	proper	proper	
Lin1290 protein	uninformative	uninformative	gene name without associated function
BCS1 and ATPase (AAA) domain protein	proper	proper	
Tail assembly chaperone	proper	proper	
Putative Exonuclease, phage-type	proper	proper	
Peptidoglycan lytic transglycosylase, family GH104	proper	proper	
DUF2135 domain-containing protein	low informative	low	
2-octaprenyl-6-methoxyphenyl hydroxylase	proper	proper	
Spore cortex-lytic enzyme prepeptide	proper	proper	
Toxin-antitoxin system, toxin component, MazF family	proper	proper	
p2 phage tail completion protein R (GpR)	proper	proper	
Chaperone protein DnaJ 2	proper	proper	
63 kDa chaperonin, mitochondrial	proper	proper	
uncharacterized protein LOC108741433	uninformative	uninformative	
Putative tick transposon	proper	proper	
40 kDa heat shock protein, putative	proper	proper	
Putative Helicase, RecD/TraA family	proper	proper	
Gp20	uninformative	uninformative	
Proliferating cell nuclear antigen PcnA	proper	proper	
Sporulation domain-containing protein	proper	proper	
RecD DNA helicase YrrC	proper	proper	
Alpha-monoglucosyldiacylglycerol synthase	proper	proper	
SMC1-family ATPase involved in DNA repair	proper	proper	
Fibro-slime domain-containing protein	proper	proper	
Putative RNA-binding Zn-ribbon protein involved in translation (DUF1610 family)	low informative	proper	despite the presence of DUF, this is actually quite informative about the function
NaMN:DMB phosphoribosyltransferase	proper	proper	
Thioredoxin M1, chloroplastic	proper	proper	
Cell wall hydrolase	proper	proper	
Transfer protein Tra	proper	proper	
Tail lysozyme, putative	proper	proper	
Hypoth_Ymh domain-containing protein	proper	uninformative	
GNAT N-acetyltransferase	proper	proper	
kelch-like protein 13 isoform X2	proper	proper	
T3/T7 RNA polymerase	proper	proper	
Lambda integrase-like protein	proper	proper	
PhageMin_Tail domain-containing protein	proper	proper	
Putative endonuclease I	proper	proper	
DNA replication factor	proper	proper	
Diguanylate cyclase, GGDEF domain	proper	proper	
Transcriptional regulator, LuxR family protein	proper	proper	
Small subunit (Nu1-like protein) of DNA packaging dimer	proper	proper	
Putative signaling protein CC_0091	proper	proper	
Topoisomerase-like DNA binding C4 zinc finger protein	proper	proper	
Endonuclease HNH	proper	proper	
VCBS repeat-containing protein	proper	proper	
Regulatory P domain of the subtilisin-like proprotein convertase	proper	proper	
CSON002342 protein	low informative	uninformative	
Putative SPP1 family predicted phage head-tail adaptor	proper	proper	
kelch-like protein 21	proper	proper	
Gp8 domain protein	uninformative	uninformative	
Recombinase D	proper	proper	
kelch domain-containing protein 8A-like isoform X2	proper	proper	
NUMOD4 motif	proper	proper	
Peptidase family S24	proper	proper	
Endonuclease/exonuclease/phosphatase	proper	proper	
Bifunctional S24 family peptidase / transcriptional regulator	proper	proper	
Kelch-like 3	proper	proper	
RanBD1 domain-containing protein	proper	proper	
Mitochondrial 60 kDa heat shock protein	proper	proper	
Spermatogenesis associated 5-like 1	proper	proper	
Si:ch211-63p21.8	proper	uninformative	
TIGR04255 family protein	proper	low	
Putative tail fiber	proper	proper	
Putative helicase-phage associated protein	proper	proper	
Gll3885 protein	proper	uninformative	
Prophage PSPPH03, transcriptional regulator, LuxR family	proper	proper	
DUF1937 family protein	low informative	low	
DNA-dependent ATPase MGS1	proper	proper	
AraC-like ligand binding domain	proper	proper	
attractin-like protein 1	proper	proper	
Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	proper	proper	
LINE-type retrotransposon LIb DNA	proper	proper	
p-loop containing nucleoside triphosphate hydrolase	proper	proper	
Phage P4-associated integrase	proper	proper	
(rape) hypothetical protein	uninformative	uninformative	
UMP-CMP kinase	proper	proper	
uncharacterized protein LOC111068026	uninformative	uninformative	
Dephospho-CoA kinase, CoaE, nonfunctional	proper	proper	
Phage-associated homing endonuclease	proper	proper	
AraC_binding domain-containing protein	proper	proper	
fibronectin-like	proper	proper	
HTH_37 domain-containing protein	proper	proper	
Putative uncharacterized protein ORFI in retron EC67	proper	uninformative	
MutT pyrophosphohydrolase	proper	proper	
HDIG domain-containing protein	proper	proper	
uncharacterized protein LOC104246415	uninformative	uninformative	
Phage virion morphoproteinsis protein	proper	proper	
Flotillin-like protein 2	proper	proper	
Putative phage major capsid protein, gp36	proper	proper	
Uncharacterized protein rth28	uninformative	uninformative	
IscS protein	proper	proper	protein name with associated function
Alkyl sulfatase dimerisation	proper	proper	
Polysialic acid capsule synthesis protein KpsF	proper	proper	
GTP pyrophosphokinase (P)ppGpp synthetase I	proper	proper	
Uncharacterized conserved protein UCP015417, vWA	proper	uninformative	
Transposase (ISL3 family)	proper	proper	
Putative acid phosphatase of HAD superfamily subfamily IIIB	proper	proper	
Bis(5'-nucleosyl)-tetraphosphatase prpE	proper	proper	
DEBR0S6_10110g1_1	proper	uninformative	
Beta-lactamase domain protein	proper	proper	
Procollagen-lysine,2-oxoglutarate 5-dioxygenase	proper	proper	
ubiquitin-like modifier-activating enzyme 6	proper	proper	
HEPN domain protein	proper	proper	
Nudix-type nucleoside diphosphatase (YffH/AdpP family)	proper	proper	
Putative cell surface glycoprotein	proper	proper	
Putative exonuclease subunit 1	proper	proper	
Gluconate 5-dehydrogenase	proper	proper	
mRNA interferase toxin of the YafO-YafN toxin-antitoxin system	proper	proper	
Gll2115 protein	proper	uninformative	
Rhodanese-related sulfurtransferase	proper	proper	
Pathogenesis-like transcriptional factor and ERF protein	proper	proper	
Collagen type VI alpha 5 chain	proper	proper	
Aminoglycoside N(6')acetyltransferase	proper	proper	
DNA circulation	proper	proper	
Tail fiber	proper	proper	
Prok-JAB and NLPC P60 and Lambda tail I and Phage tail L and Phage min tail domain containing protein	proper	proper	
Lysophospholipase L1 or related esterase	proper	proper	
Putative stomatin-like protein	proper	proper	
Protein p50	uninformative	uninformative	
ABC transporter domain-containing protein	proper	proper	
tRNA (guanine(26)-N(2))-dimethyltransferase	proper	proper	
Metal dependent phosphohydrolase	proper	proper	
Predicted exonuclease VIII/RecE-like protein	proper	proper	
Prophage Lp3 protein 11	proper	uninformative	
Ref family protein	proper	proper	
Putative tail assembly protein	proper	proper	
transmembrane protein 131	proper	low	
SsDNA-specific exonuclease RecJ	proper	proper	
Sarcosine oxidase delta subunit	proper	proper	
Aspartyl beta hydroxylase	proper	proper	
O-acetyl-ADP-ribose deacetylase 1	proper	proper	
5'-3' exonuclease (Including N-terminal domain of PolI)	proper	proper	
DNA polymerase I	proper	proper	
kelch-like protein 2 isoform X3	proper	proper	
Bacteriocin	proper	proper	
Beta-N-acetylhexosaminidase	proper	proper	
Uracil-DNA glycosylase family protein	proper	proper	
Type III restriction enzyme, res subunit:DEAD/DEAH box helicase	proper	proper	
Unplaced genomic scaffold SPHSTscaffold_123, whole genome shotgun sequence	uninformative	uninformative	
Mu-like major head subunit gpT, prophage protein	proper	proper	
Uncharacterized homolog of phage Mu protein gp47	proper	proper	
lymphocyte antigen 6 complex locus protein G6f isoform X2	proper	proper	
Lysophospholipase L1 and related esterase	proper	proper	
VRR-NUC domain-containing protein (Modular protein)	proper	proper	
LPS export ABC transporter periplasmic protein LptC	proper	proper	
3-hydroxyacyl-[acyl-carrier-protein] dehydratase	proper	proper	
Nicotinamide phosphoribosyl transferase	proper	proper	
DNA repair exonuclease SbcCD ATPase subunit	proper	proper	
HTH-type transcriptional regulator CysL	proper	proper	
Rad51C	proper	proper	
Sterol-4-alpha-carboxylate 3-dehydrogenase	proper	proper	
Alpha-N-acetylglucosaminidase	proper	proper	
RNA recognition motif-containing protein, putative	proper	proper	
ExsB protein	proper	proper	
Putative N-acetyltransferase YuaI	proper	proper	
Putative Ig	proper	proper	
Putative phage minor tail protein	proper	proper	
Glycosyl transferase, family 1 domain-containing protein	proper	proper	
Probable dCTP deaminase/DeoxyUTP pyrophosphatase	proper	proper	
DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	proper	proper	
Nudix hydrolase 15	proper	proper	
Peptidase_M17_N domain-containing protein	proper	proper	
Putative type III restriction enzyme	proper	proper	
Glutathione synthase/RimK-type ligase-like ATP-grasp enzyme	proper	proper	
DNA helicase RecG (ISS)	proper	proper	
IstB domain protein ATP-binding protein	proper	proper	
Response regulator of the LytR/AlgR family	proper	proper	
Nad(P)h-nitrite reductase, large subunit protein nirb, putative	proper	proper	
Terminase large subunit (Gp2)	proper	proper	
DUF1018 domain-containing protein	low informative	low	
DNA excision repair protein ERCC-6-like protein	proper	proper	
Iota-carrageenase	proper	proper	
Hydroquinone glucosyltransferase-like	proper	proper	
Surface/cell-adhesion protein	proper	proper	
Putative alpha-protein kinase 1	proper	proper	
TOP2B topoisomerase	proper	proper	
NLP/P60 protein	proper	proper	
Complex I-B14.5a	proper	proper	gene name with associated function
Export associated protein	proper	low	
Asparagine synthetase [glutamine-hydrolyzing] (EC)	proper	proper	
Sporulation regulator WhiA	proper	proper	
SsDNA-dependent ATPase MGS1	proper	proper	
B box-type domain-containing protein	proper	proper	
Toxic anion resistance protein TelA	proper	proper	
Uncharacterized protein YhfF	uninformative	uninformative	
Attractin isoform X1	proper	proper	
Avirulence-responsive family protein	proper	proper	
Related to integrase	proper	proper	
LAGLIDADG endonuclease n1 TaxGibberella zeae PH-1 RepIDA5J033_GIBZE	proper	proper	
3'-to-5' oligoribonuclease B	proper	proper	
VAT-2 protein	proper	proper	
Marine proteobacterial sortase target protein	proper	proper	
Putative bcs1 AAA-type ATPase	proper	proper	
kelch-like ECH-associated protein 1 isoform X1	proper	proper	
Spermatogenesis-associated protein 5-like protein 1	proper	proper	
Quorum-sensing-regulated virulence factor family protein	proper	proper	
P27 family phage terminase small	proper	proper	
30S ribosomal protein S6 modification protein RimK	proper	proper	
ERF family protein	proper	proper	
RNase T domain containing protein	proper	proper	
Ribosomal-protein-S5-alanine N-acetyltransferase	proper	proper	
Type IV pilus secretin PilQ family protein	proper	proper	
Replication factor C large subunit	proper	proper	
Zeta toxin	proper	proper	
Transcriptional regulator, IclR family protein	proper	proper	
Putative UDP-galactose 4-epimerase	proper	proper	
Major tail subunit encoded within prophage CP-933V	proper	proper	
UDP-4-amino-4, 6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	proper	proper	
Mrr restriction endonuclease-like protein	proper	proper	
Probable phage repressor protein	proper	proper	
Protein hflC, putative	proper	proper	
Putative peptidoglycan binding domain 1	proper	proper	
Putative Prophage antirepressor	proper	proper	
Unplaced genomic scaffold SPHSTscaffold_416, whole genome shotgun sequence	uninformative	uninformative	
Coat protein	proper	proper	
NAD+-asparagine ADP-ribosyltransferase	proper	proper	
Heme-binding protein	proper	proper	
CHASE4 domain	proper	proper	
Collagen triple helix repeat-containing protein 1	proper	proper	
DDE_Tnp_1_7 domain-containing protein	proper	proper	
Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	proper	proper	
Putative N-acetyltransferase YjaB	proper	proper	
Transcription termination factor 2	proper	proper	
GIY-YIG nuclease domain protein	proper	proper	
SOS response transcriptional repressor, RecA-mediated autopeptidase	proper	proper	
Kelch like family member 18	proper	proper	
PSD1 domain-containing protein	proper	proper	
dCMP hydroxymethylase	proper	proper	
Unplaced genomic scaffold K443scaffold_261, whole genome shotgun sequence	uninformative	uninformative	
DUF3265 domain-containing protein	low informative	low	
Pectate lyase family protein	proper	proper	
WD repeat-containing protein 53	proper	proper	
Molecular chaperone	proper	proper	
Phage major tail protein phi13 family	proper	proper	
Putative Serine/threonine protein phosphatase	proper	proper	
RecA bacterial DNA recombination family protein	proper	proper	
DUF362 domain-containing protein	low informative	low	
Thymidine kinase	proper	proper	
BMA-HUS-1	proper	proper	protein name with associated function
Putative N-acetyltransferase YafP	proper	proper	
uncharacterized protein LOC109480950	uninformative	uninformative	
Contactin 3a, tandem duplicate 2	proper	proper	
DNA-binding beta-propeller fold protein YncE	proper	proper	
Proline dehydrogenase	proper	proper	
ISAs1 family transposase	proper	proper	
Kelch repeat and BTB domain containing 7	proper	proper	
Glycohydrolase, putative	proper	proper	
dUTP pyrophosphatase	proper	proper	
Phage T4 tail fibre	proper	proper	
Phage terminase-like protein, large subunit, contains N-terminal HTH domain	proper	proper	
DUF551 domain-containing protein	low informative	low	
HhaIM protein	proper	proper	
TerF-like vWA domain-containing protein	proper	proper	
26S proteasome regulatory subunit 6B	proper	proper	
Glutamine--fructose-6-phosphate aminotransferase (Isomerizing)	proper	proper	
Phosphopantothenate-cysteine ligase	proper	proper	
Epidermal surface antigen (Flotillin-like protein)	proper	proper	
COG4626: Phage terminase-like protein, large subunit	proper	proper	
IENR2 domain-containing protein	proper	proper	
DNA repair protein RecA homolog 2, mitochondrial	proper	proper	
Phage related protein	uninformative	uninformative	
UDP-N-acetylglucosamine--N-acetylmuramyl-(Pentapeptide) pyrophosphoryl-UDP N-acetylglucosamine transferase	proper	proper	
BTB/POZ domain protein	proper	proper	
DUF5710 domain-containing protein	low informative	low	
tRNA(Met) cytidine acetyltransferase TmcA	proper	proper	
Putative Rhs element Vgr protein	proper	proper	
Chromatin remodeling protein HARP/SMARCAL1, DEAD-box superfamily	proper	proper	
uncharacterized protein LOC114847662 isoform X2	proper	uninformative	
Hemicentin-1	proper	proper	
ClpS domain-containing protein	proper	proper	
Phage prohead protease, HK97 family	proper	proper	
Type III restriction enzyme, res subunit family	proper	proper	
DEAD/DEAH RNA helicase	proper	proper	
Peptidase M15C family protein	proper	proper	
Phage head morphogenesis protein SPP1 gp7 family	proper	proper	
Uncharacterized protein containing caspase domain	proper	proper	caspase is functional information, hence proper
Aspzincin_M35 domain-containing protein	proper	proper	
EF-hand domain-containing protein	proper	proper	
Endo-1,3(4)-beta-glucanase	proper	proper	
Unannotated protein	uninformative	uninformative	
SIS domain-containing protein	proper	proper	
Uncharacterized protein DUF1052	low informative	low	
DEDDh family exonuclease	proper	proper	
uncharacterized protein LOC117654103	uninformative	uninformative	
DNA replication domain protein	proper	proper	
Macro domain-containing protein lp_3408	proper	proper	
Predicted phosphoesterase	proper	proper	
Oxalate decarboxylase oxdC	proper	proper	
Putative DHH phosphatase family protein	proper	proper	
3-ketoacyl-CoA synthase 17	proper	proper	
Acetyltransferase protein	proper	proper	
Phage major tail protein, TP901-1 family	proper	proper	
Unplaced genomic scaffold scaffold_83, whole genome shotgun sequence	uninformative	uninformative	
PF11185 family protein	proper	low	
Hypothetical signaling protein	proper	proper	
Gp36	uninformative	uninformative	
Type VI secretion system effector, Hcp1 family protein	proper	proper	
Contactin associated protein 1-like protein	proper	proper	
Bm5367	proper	uninformative	protein name without associated function
uncharacterized protein LOC117548310 isoform X1	proper	uninformative	
ApaG protein	proper	proper	
DUF4262 domain-containing protein	low informative	low	
[cytidine(C)-cytidine(C)-adenosine (A)]-adding enzyme	proper	proper	
ERCC6	proper	proper	protein name with associated function
Putative head-tail connector	proper	proper	
ORC1-type DNA replication protein	proper	proper	
Blast:Kelch domain-containing protein 10 homolog	proper	proper	
CBS domain protein	proper	proper	
PBSX prophage	proper	uninformative	similarity to an entire species, not informative
Biotin carboxylase	proper	proper	
Putative endopeptidase Clp	proper	proper	
O-phosphoserine phosphohydrolase	proper	proper	
DNA polymerase III sliding clamp (Beta) subunit (PCNA family)	proper	proper	
Baseplate J family protein	proper	proper	
Outer membrane protein assembly factor BamE (Lipoprotein component of BamABCDE complex)	proper	proper	
Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases)	proper	proper	
Phage stabilization protein	proper	proper	
Kelch 41	proper	proper	
DNA-binding domain-containing protein, AraC-type	proper	proper	
Phosphotransferase family enzyme	proper	proper	
Zinc-type alcohol dehydrogenase	proper	proper	
Nudix (MutT) family hydrolase/pyrophosphatase	proper	proper	
ATP-dependent exoDNAse alpha subunit	proper	proper	
TciA/TerB-like protein	proper	proper	
Phage Cro/CI transcriptional regulator	proper	proper	
Phage-like element PBSX protein XkdC	proper	proper	
Mitochondrial chaperone BCS1	proper	proper	
Cell division protein FtsZ 2-1, chloroplastic	proper	proper	
COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster	proper	proper	
PRTRC genetic system ParB family protein	proper	proper	
Serine/threonine protein phosphatase	proper	proper	
Protein cbbY, chromosomal	proper	proper	
Putative transcriptional regulator, rpiR family protein	proper	proper	
Methyl-accepting chemotaxis protein, putative	proper	proper	
Putative Macro domain-containing protein	proper	proper	
Putative holliday junction resolvase RusA	proper	proper	
Putative phosphopantothenate-cysteine ligase (CTP)	proper	proper	
Putative phage minor head protein	proper	proper	
Transcription factor Sp4	proper	proper	
(1->4)-alpha-D-glucan synthase (ADP-glucose)	proper	proper	
Pyridoxal-phosphate dependent protein	proper	proper	
Amino acid dehydrogenase	proper	proper	
DUF2815 domain-containing protein	low informative	low	
uncharacterized protein LOC115321221	uninformative	uninformative	
GatB/YqeY family protein	proper	proper	
Chaperone protein DnaJ, putative	proper	proper	
PUTATIVE HEMAGGLUTININ-RELATED PROTEIN	proper	proper	
WD domain, G-beta repeat-containing protein	proper	proper	
Group II intron reverse transcriptase/maturase	proper	proper	
Prophage terminase, small subunit	proper	proper	
Peroxisome biogenesis factor, putative	proper	proper	
Chaperonin 60 subunit alpha 2, chloroplastic-like	proper	proper	
FMN phosphatase YigB, HAD superfamily	proper	proper	
Phage virion morphogeneis protein	proper	proper	
MSHA biogenesis protein, MshQ	proper	proper	
uncharacterized protein YJR142W isoform X2	proper	uninformative	
Nucleotidyl transferase AbiEii/AbiGii toxin family protein	proper	proper	
DnaB-like helicase C-terminal domain protein	proper	proper	
Phosphoethanolamine N-methyltransferase	proper	proper	
Putative GTP pyrophosphokinase	proper	proper	
DNA-binding helix-turn-helix / peptidase S24-like multi-domain protein	proper	proper	
Tail fiber component K	proper	proper	
CYTB_NTER domain-containing protein	proper	proper	
CSON008739 protein	low informative	uninformative	
Asparagine synthase (Glutamine-hydrolyzing)	proper	proper	
Coagulation factor 5/8 type domain protein	proper	proper	
PQQ-dependent sugar dehydrogenase	proper	proper	
DM13 domain-containing protein	proper	proper	
Putative phage tail tube protein	proper	proper	
Uncharacterized homolog ofphage Mu protein gp47	proper	proper	
Putative peptidase S14	proper	proper	
hypersensitive-induced response protein 1-like isoform X1	proper	proper	
thrombospondin-related anonymous protein	proper	proper	
Valosin-containing protein, isoform CRA_a	proper	proper	
Uncharacterized protein DUF1983	low informative	low	
Deaminase	proper	proper	
DNA, contig: SP610	uninformative	uninformative	
Global transcription factor group A2, putative	proper	proper	
Beta-glucosidase	proper	proper	
Galactose oxidase, central domain family protein	proper	proper	
Saccharopine dehydrogenase	proper	proper	
CEACAM1 isoform 4	proper	proper	
DUF536 domain-containing protein	low informative	low	
ATP-dependent RecD-like DNA helicase	proper	proper	
N-acyl-L-homoserine lactone synthetase	proper	proper	
Phage head morphogenesis protein gp7	proper	proper	
Glycine cleavage system T protein	proper	proper	
Protein RecA, variant 3	proper	proper	
GNAT-family acetyltransferase (TIGR03103 family)	proper	proper	
Heme-bound 3',5'-cyclic-nucleotide phosphodiesterase (Direct oxygen sensor protein)	proper	proper	
Mu transposase C-terminal domain-containing protein	proper	proper	
Beta-L-arabinofuranosidase, GH127	proper	proper	
Kelch like family member 7	proper	proper	
Cellulase family glycosylhydrolase	proper	proper	
Raw, isoform A	proper	uninformative	protein name without associated function
ATP-dependent DNA helicase, RecD/TraA family	proper	proper	
Bacteriophage L54a, antirepressor, putative	proper	proper	
UPF0200 protein ENI53_00170	proper	low	
DNA topoisomerase II	proper	proper	
5' nucleotidase, deoxy family protein	proper	proper	
uncharacterized protein LOC104596878 isoform X1	proper	uninformative	
DNA polymerase I family protein with 3'-5'-exonuclease and polymerase domain	proper	proper	
ZRANB3 protein	proper	proper	protein name with associated function
Phage baseplate assembly protein	proper	proper	
Ribonucleotide reductase M1 polypeptide	proper	proper	
GramPos_pilinD1 domain-containing protein	proper	proper	
Kelch motif	proper	proper	
Nuclease (SNase)	proper	proper	
Mitochondrial translational release factor 1 like	proper	proper	
LAME_0G17370g1_1	proper	uninformative	
Putative phage exonuclease	proper	proper	
Cell Wall hydrolase	proper	proper	
Phage protein Gp37/Gp68	proper	uninformative	
Rha family Phage regulatory protein	proper	proper	
Putative kelch-like protein 14	proper	proper	
NEDD4-binding protein 2 isoform X4	proper	proper	
Rex2 3'-5' RNA exonuclease	proper	proper	
Nvl protein	proper	proper	
T-complex protein 1 subunit gamma	proper	proper	
Estrogen-related receptor gamma	proper	proper	
Probable short-chain dehydrogenase	proper	proper	
Antitermination protein	proper	proper	
Phage portal protein, hk97 family	proper	proper	
Sigma factor for late transcription	proper	proper	
uncharacterized protein LOC113788412	uninformative	uninformative	
SPFH domain / band 7 family protein	proper	proper	
Methyltransferase type 11 (Modular protein)	proper	proper	
Phage holin	proper	proper	
N-6 DNA Methylase domain protein	proper	proper	
HAD superfamily hydrolase (TIGR01509 family)	proper	proper	
Protein PIR	proper	proper	
Unplaced genomic scaffold PAXINscaffold_31, whole genome shotgun sequence	uninformative	uninformative	
Clamp loader small subunit	proper	proper	
Aspartyl/asparaginyl beta-hydroxylase-like dioxygenase	proper	proper	
Putative gag-pol polyprotein	proper	proper	
tRNA-dihydrouridine synthase B	proper	proper	
Thiamine-phosphate synthase	proper	proper	
SCP2 sterol-binding domain-containing protein	proper	proper	
DNA repair protein rad5	proper	proper	
N6 adenine-specific DNA methyltransferase	proper	proper	
attractin-like	proper	proper	
Motility quorum-sensing regulator, toxin of MqsA	proper	proper	
DUF1391 domain-containing protein	low informative	low	
Transposase ISL3	proper	proper	
Molecular chaperones (DnaJ family)	proper	proper	
Putative nitrate/nitrite response transcriptional regulatory protein NarL (LuxR family)	proper	proper	
Bacteriophage lambda NinG protein	proper	proper	
DNA (Cytosine-5-)-methyltransferase	proper	proper	
Putative surface protein	proper	low	
Mitochondrial DNA polymerase I protein D	proper	proper	
Tea1 protein	proper	proper	
Cis-epoxysuccinate hydrolase	proper	proper	
DNA repair and recombination protein rad54-like protein	proper	proper	
Zonula occludens toxin	proper	proper	
Bacteriophage endonuclease	proper	proper	
Purine phosphoribosyltransferase, putative	proper	proper	
Glycerophosphodiester phosphodiesterase	proper	proper	
Ribose-phosphate pyrophosphokinase 5	proper	proper	
HFLC protein	proper	proper	
Thioredoxin M-type, chloroplastic	proper	proper	
Protein QmcA (Possibly involved in integral membrane quality control)	proper	proper	
Transcriptional regulator, LytR/AlgR family	proper	proper	
Deoxycytidylate deaminase domain-containing protein	proper	proper	
ARAD1B04510p	proper	uninformative	
Amidase family protein	proper	proper	
DUF2163 domain-containing protein	low informative	low	
Putative ATPase YjoB	proper	proper	
DUF2800 domain-containing protein	low informative	low	
Collagenous repeat-containing protein	proper	proper	
Poly(A) polymerase	proper	proper	
Putative poly polymerase protein	proper	proper	
Tmk protein	proper	proper	
DNA-binding CsgD family transcriptional regulator	proper	proper	
Phage tail sheath	proper	proper	
Phage tail tape measure protein, lambda family	proper	proper	
Putative transcriptional repressor	proper	proper	
Putative HNH family endonuclease, phage associated	proper	proper	
Circadian clock KaiC-like protein	proper	proper	
Glycoside hydrolase, family 19	proper	proper	
Ribose-phosphate pyrophosphokinase 1	proper	proper	
TP901 family tail tape measure protein	proper	proper	
R2K_2 domain-containing protein	proper	proper	
PF04447 family protein	proper	low	
NADH:flavorubredoxin reductase NorW	proper	proper	
